symbol,date,adjOpen,adjHigh,adjLow,adjClose,volume
AAPL,2025-10-24,261.19,264.13,259.18,262.82,38253717
AAPL,2025-10-23,259.94,260.62,258.01,259.58,32754941
AAPL,2025-10-22,262.65,262.85,255.43,258.45,45015300
AAPL,2025-10-21,261.88,265.29,261.83,262.77,46695948
AAPL,2025-10-20,255.89,264.38,255.63,262.24,90483029
AAPL,2025-10-17,248.02,253.38,247.27,252.29,49147000
AAPL,2025-10-16,248.25,249.04,245.13,247.45,39777000
AAPL,2025-10-15,249.49,251.82,247.47,249.34,33893611
AAPL,2025-10-14,246.6,248.85,244.7,247.77,35478000
AAPL,2025-10-13,249.38,249.69,245.56,247.66,38142942
AAPL,2025-10-10,254.94,256.38,244.0,245.27,61999100
AAPL,2025-10-09,257.81,258.0,253.14,254.04,38322012
AAPL,2025-10-08,256.52,258.52,256.11,258.06,36496900
AAPL,2025-10-07,256.81,257.4,255.43,256.48,31955800
AAPL,2025-10-06,257.99,259.07,255.05,256.69,44664118
AAPL,2025-10-03,254.67,259.24,253.95,258.02,49155614
AAPL,2025-10-02,256.58,258.18,254.15,257.13,42630239
AAPL,2025-10-01,255.04,258.79,254.93,255.45,48713940
AAPL,2025-09-30,254.86,255.92,253.11,254.63,37704300
AAPL,2025-09-29,254.56,255.0,253.01,254.43,40127700
AAPL,2025-09-26,254.1,257.6,253.78,255.46,46076300
AAPL,2025-09-25,253.21,257.17,251.71,256.87,55202100
AAPL,2025-09-24,255.22,255.74,251.04,252.31,42303710
AAPL,2025-09-23,255.88,257.34,253.58,254.43,60275200
AAPL,2025-09-22,248.3,256.64,248.12,256.08,105517416
AAPL,2025-09-19,241.23,246.3,240.21,245.5,163741314
AAPL,2025-09-18,239.97,241.2,236.65,237.88,44249600
AAPL,2025-09-17,238.97,240.1,237.73,238.99,46508017
AAPL,2025-09-16,237.18,241.22,236.32,238.15,63421100
AAPL,2025-09-15,237.0,238.19,235.03,236.7,42699524
AAPL,2025-09-12,229.22,234.51,229.02,234.07,55824216
AAPL,2025-09-11,226.88,230.45,226.65,230.03,50208600
AAPL,2025-09-10,232.19,232.42,225.95,226.79,83440810
AAPL,2025-09-09,237.0,238.78,233.36,234.35,66313918
AAPL,2025-09-08,239.3,240.15,236.34,237.88,48999500
AAPL,2025-09-05,240.0,241.32,238.49,239.69,54870400
AAPL,2025-09-04,238.45,239.9,236.74,239.78,47549429
AAPL,2025-09-03,237.21,238.85,234.36,238.47,66427835
AAPL,2025-09-02,229.25,230.85,226.97,229.72,44075638
AAPL,2025-08-29,232.51,233.38,231.37,232.14,39418437
AAPL,2025-08-28,230.82,233.41,229.34,232.56,38074700
AAPL,2025-08-27,228.61,230.9,228.26,230.49,31259513
AAPL,2025-08-26,226.87,229.49,224.69,229.31,54575107
AAPL,2025-08-25,226.48,229.3,226.23,227.16,30983133
AAPL,2025-08-22,226.17,229.09,225.41,227.76,42477811
AAPL,2025-08-21,226.27,226.52,223.78,224.9,30621249
AAPL,2025-08-20,229.98,230.47,225.77,226.01,42263900
AAPL,2025-08-19,231.28,232.87,229.35,230.56,39402600
AAPL,2025-08-18,231.7,233.12,230.11,230.89,37476200
AAPL,2025-08-15,234.0,234.28,229.34,231.59,56038700
AAPL,2025-08-14,234.06,235.12,230.85,232.78,51916300
AAPL,2025-08-13,231.07,235.0,230.43,233.33,69878546
