symbol,date,adjOpen,adjHigh,adjLow,adjClose,volume
GOOGL,2025-10-24,256.58,261.68,255.32,259.92,28655126
GOOGL,2025-10-23,252.98,255.04,251.85,253.08,19901425
GOOGL,2025-10-22,254.37,256.36,249.29,251.69,35029400
GOOGL,2025-10-21,254.74,254.88,244.15,250.46,47312100
GOOGL,2025-10-20,254.69,257.33,254.23,256.55,22350200
GOOGL,2025-10-17,250.76,254.22,247.81,253.3,29671629
GOOGL,2025-10-16,251.77,256.96,250.1,251.46,27997200
GOOGL,2025-10-15,247.25,252.11,245.99,251.03,27007700
GOOGL,2025-10-14,241.23,247.12,240.51,245.45,22111600
GOOGL,2025-10-13,240.21,244.5,239.71,244.15,24995028
GOOGL,2025-10-10,241.43,244.09,235.84,236.57,33180323
GOOGL,2025-10-09,244.47,244.76,239.15,241.53,27892100
GOOGL,2025-10-08,244.96,246.01,243.82,244.62,21307104
GOOGL,2025-10-07,248.27,250.44,245.52,245.76,23181300
GOOGL,2025-10-06,244.78,251.32,244.58,250.43,28894700
GOOGL,2025-10-03,244.49,246.3,241.66,245.35,30249600
GOOGL,2025-10-02,245.15,246.81,242.3,245.69,25483300
GOOGL,2025-10-01,240.75,246.3,238.61,244.9,31658234
GOOGL,2025-09-30,242.81,243.29,239.25,243.1,34724346
GOOGL,2025-09-29,247.85,251.15,242.77,244.05,32505800
GOOGL,2025-09-26,247.07,249.42,245.97,246.54,18503200
GOOGL,2025-09-25,244.4,246.49,240.74,245.79,31020400
GOOGL,2025-09-24,251.66,252.35,246.44,247.14,28201003
GOOGL,2025-09-23,253.04,254.36,250.48,251.66,26628016
GOOGL,2025-09-22,254.43,255.78,250.3,252.53,32290538
GOOGL,2025-09-19,253.25,256.0,251.81,254.72,55571424
GOOGL,2025-09-18,251.68,253.99,249.8,252.03,31239500
GOOGL,2025-09-17,251.22,251.6,246.28,249.53,34108000
GOOGL,2025-09-16,252.08,253.04,249.47,251.16,34109720
GOOGL,2025-09-15,244.66,252.41,244.66,251.61,58383800
GOOGL,2025-09-12,240.37,242.08,238.0,240.8,26771610
GOOGL,2025-09-11,239.88,242.25,236.25,240.37,30599328
GOOGL,2025-09-10,238.9,241.66,237.85,239.17,35141100
GOOGL,2025-09-09,234.17,240.47,233.23,239.63,38061000
GOOGL,2025-09-08,235.47,238.13,233.67,234.04,32474743
GOOGL,2025-09-05,231.99,235.55,231.69,234.79,46588925
GOOGL,2025-09-04,229.44,232.16,225.91,232.09,51684200
GOOGL,2025-09-03,226.0,231.1,224.59,230.45,103336125
GOOGL,2025-09-02,208.25,211.49,206.01,211.16,47523037
GOOGL,2025-08-29,210.32,214.46,210.01,212.72,39728400
GOOGL,2025-08-28,207.06,212.03,206.71,211.45,32339307
GOOGL,2025-08-27,205.51,208.72,205.46,207.29,23022900
GOOGL,2025-08-26,207.32,207.66,205.51,206.95,28464130
GOOGL,2025-08-25,206.24,210.33,205.09,208.3,29928900
GOOGL,2025-08-22,202.55,208.36,201.12,205.91,42827040
GOOGL,2025-08-21,199.57,202.3,199.25,199.57,19774633
GOOGL,2025-08-20,200.55,201.1,196.42,199.14,28955500
GOOGL,2025-08-19,202.85,203.26,199.78,201.39,24240233
GOOGL,2025-08-18,204.02,205.09,202.31,203.32,18526600
GOOGL,2025-08-15,203.67,206.26,201.1,203.72,34931422
GOOGL,2025-08-14,201.32,204.26,201.05,202.76,25230427
GOOGL,2025-08-13,203.95,204.35,197.33,201.78,28342922
GOOGL,2025-08-12,201.19,204.32,200.41,203.16,30424452
GOOGL,2025-08-11,200.76,201.3,198.89,200.82,25832435
GOOGL,2025-08-08,197.04,202.43,196.99,201.24,39161826
GOOGL,2025-08-07,196.88,197.36,194.15,196.34,26321811
GOOGL,2025-08-06,194.32,196.45,193.49,195.91,21562908
GOOGL,2025-08-05,194.54,197.69,193.72,194.5,31602340
GOOGL,2025-08-04,190.12,195.1,189.95,194.87,31547400
GOOGL,2025-08-01,188.86,190.66,187.65,188.96,34832200
GOOGL,2025-07-31,195.54,195.82,190.92,191.73,51329200
GOOGL,2025-07-30,195.42,197.42,194.51,196.35,32445405
GOOGL,2025-07-29,192.26,195.75,191.91,195.58,41389200
GOOGL,2025-07-28,193.48,193.88,190.67,192.41,38139504
GOOGL,2025-07-25,191.81,194.16,191.09,193.01,39785900
GOOGL,2025-07-24,196.86,197.77,190.83,192.0,74881700
GOOGL,2025-07-23,191.33,192.36,189.01,190.06,58681948
GOOGL,2025-07-22,191.33,191.48,187.29,191.17,44660215
GOOGL,2025-07-21,186.08,190.12,185.98,189.93,45803129
GOOGL,2025-07-18,185.23,186.25,183.54,184.89,34014509
GOOGL,2025-07-17,181.98,183.9,180.32,183.42,31992600
GOOGL,2025-07-16,183.08,184.17,181.87,182.81,33104200
GOOGL,2025-07-15,182.65,184.06,181.44,181.84,33448300
GOOGL,2025-07-14,180.85,183.51,179.52,181.4,32536632
GOOGL,2025-07-11,176.63,181.27,176.32,180.03,34282922
GOOGL,2025-07-10,175.47,178.27,174.22,177.46,29252400
GOOGL,2025-07-09,175.09,179.28,172.61,176.46,43025600
GOOGL,2025-07-08,177.69,177.79,172.65,174.2,40442535
GOOGL,2025-07-07,178.9,179.14,175.52,176.63,34175648
GOOGL,2025-07-03,178.34,179.51,176.89,179.37,21689729
GOOGL,2025-07-02,175.38,178.7,174.91,178.48,29128947
GOOGL,2025-07-01,175.58,175.93,173.37,175.68,35904526
GOOGL,2025-06-30,180.62,181.07,174.42,176.07,63378900
GOOGL,2025-06-27,173.38,178.52,171.58,178.37,108140200
GOOGL,2025-06-26,172.27,173.53,169.78,173.38,31796700
GOOGL,2025-06-25,167.48,172.21,167.4,170.53,35479000
GOOGL,2025-06-24,166.77,168.07,165.98,166.62,40524312
GOOGL,2025-06-23,166.12,167.19,161.85,165.04,57671000
GOOGL,2025-06-20,173.79,174.18,165.31,166.49,75659917
GOOGL,2025-06-18,175.86,176.41,173.05,173.17,28707524
GOOGL,2025-06-17,175.54,177.2,174.42,175.79,24973043
GOOGL,2025-06-16,174.57,176.78,174.49,176.61,27389208
GOOGL,2025-06-13,172.28,176.97,172.23,174.51,27663107
GOOGL,2025-06-12,176.02,176.56,174.59,175.54,20941900
GOOGL,2025-06-11,179.61,180.21,176.59,177.19,31646800
GOOGL,2025-06-10,176.04,180.95,174.75,178.44,61766121
