symbol,date,adjOpen,adjHigh,adjLow,adjClose,volume
MSFT,2025-10-24,522.79,525.35,520.71,523.61,15532360
MSFT,2025-10-23,522.46,523.95,518.61,520.56,14023532
MSFT,2025-10-22,521.15,525.23,517.71,520.54,18962700
MSFT,2025-10-21,517.5,518.69,513.04,517.66,15586204
MSFT,2025-10-20,514.61,518.7,513.43,516.79,14665620
MSFT,2025-10-17,509.04,515.48,507.31,513.58,19867800
MSFT,2025-10-16,512.58,516.85,508.13,511.61,15559600
MSFT,2025-10-15,514.96,517.19,510.0,513.43,14694700
MSFT,2025-10-14,510.23,515.28,506.0,513.57,14684300
MSFT,2025-10-13,516.41,516.41,511.68,514.05,14284238
MSFT,2025-10-10,519.64,523.58,509.63,510.96,24133840
MSFT,2025-10-09,522.34,524.33,517.4,522.4,18343602
MSFT,2025-10-08,523.28,526.95,523.09,524.85,13363447
MSFT,2025-10-07,528.29,529.8,521.44,523.98,14615208
MSFT,2025-10-06,518.61,531.03,518.2,528.57,21388600
MSFT,2025-10-03,517.1,520.49,515.0,517.35,15112321
MSFT,2025-10-02,517.64,521.6,510.68,515.74,21222900
MSFT,2025-10-01,514.8,520.51,511.69,519.71,22632336
MSFT,2025-09-30,513.24,518.16,509.66,517.95,19728229
MSFT,2025-09-29,511.5,516.85,508.88,514.6,17617800
MSFT,2025-09-26,510.06,513.94,506.62,511.46,16213129
MSFT,2025-09-25,508.3,510.01,505.04,507.03,15786500
MSFT,2025-09-24,510.38,512.48,506.92,510.15,13533711
MSFT,2025-09-23,513.8,514.59,507.31,509.23,19799600
MSFT,2025-09-22,515.59,517.74,512.54,514.45,20009314
MSFT,2025-09-19,510.56,519.3,510.31,517.93,52474100
MSFT,2025-09-18,511.49,513.07,507.66,508.45,18913700
MSFT,2025-09-17,510.62,511.29,505.93,510.02,15816600
MSFT,2025-09-16,516.88,517.23,508.6,509.04,19711922
MSFT,2025-09-15,508.79,515.47,507.0,515.36,17143800
MSFT,2025-09-12,506.65,512.55,503.85,509.9,23624900
MSFT,2025-09-11,502.25,503.17,497.88,501.01,18881608
MSFT,2025-09-10,502.98,503.23,496.72,500.37,21611816
