data,AAPL,MSFT,GOOGL,AMZN
27-10-2020,113.42,204.47,79.4,164.32
28-10-2020,108.17,194.33,75.02,158.14
29-10-2020,112.17,196.29,77.31,160.55
30-10-2020,105.89,194.13,80.25,151.81
02-11-2020,105.8,194,80.66,150.22
03-11-2020,107.43,197.93,81.72,152.42
04-11-2020,111.81,207.48,86.69,162.06
05-11-2020,115.78,214.1,87.52,166.1
06-11-2020,115.65,214.51,87.38,165.57
09-11-2020,113.34,209.4,87.47,157.19
10-11-2020,113,202.32,86.29,151.75
11-11-2020,116.43,207.63,86.76,156.87
12-11-2020,116.16,206.57,86.54,155.51
13-11-2020,116.21,207.6,88.01,156.44
16-11-2020,117.22,208.29,88.09,156.55
17-11-2020,116.33,205.63,87.48,156.78
18-11-2020,115.01,202.92,86.44,155.27
19-11-2020,115.6,204.21,87.33,155.85
20-11-2020,114.34,202.26,86.22,154.97
23-11-2020,110.93,201.99,85.79,154.92
24-11-2020,112.22,205.59,87.59,155.9
25-11-2020,113.06,205.6,87.6,159.25
27-11-2020,113.6,206.91,88.74,159.77
30-11-2020,116,205.79,87.12,158.4
01-12-2020,119.58,207.85,89.15,161
02-12-2020,119.93,207.04,90.62,160.18
03-12-2020,119.79,205.96,90.47,159.34
04-12-2020,119.12,206.07,90.56,158.13
07-12-2020,120.58,206,90.23,157.9
08-12-2020,121.2,207.66,89.95,158.86
09-12-2020,118.66,203.61,88.28,155.21
10-12-2020,120.08,202.38,87.78,155.07
11-12-2020,119.28,205.01,88.13,155.82
14-12-2020,118.66,205.92,87.01,157.85
15-12-2020,124.61,205.85,87.45,158.26
16-12-2020,124.54,210.8,87.26,162.05
17-12-2020,125.4,210.94,86.43,161.8
18-12-2020,123.41,210.14,85.72,160.08
21-12-2020,124.95,213.98,86.13,160.31
22-12-2020,128.5,215.28,85.42,160.33
23-12-2020,127.61,212.47,85.82,159.26
24-12-2020,128.59,214.14,86.11,158.63
28-12-2020,133.19,216.26,88.09,164.2
29-12-2020,131.42,215.48,87.29,166.1
30-12-2020,130.3,213.11,86.22,164.29
31-12-2020,129.29,213.82,87.03,162.85
04-01-2021,126.1,209.27,85.72,159.33
05-01-2021,127.66,209.48,86.41,160.93
06-01-2021,123.36,204.04,85.55,156.92
07-01-2021,127.57,209.85,88.11,158.11
08-01-2021,128.67,211.13,89.28,159.13
11-01-2021,125.68,209.08,87.21,155.71
