Date,Price
24-10-2025,"4,974.65"
23-10-2025,"4,922.01"
22-10-2025,"4,898.09"
21-10-2025,"4,912.89"
20-10-2025,"4,923.57"
17-10-2025,"4,870.84"
16-10-2025,"4,858.33"
15-10-2025,"4,858.42"
14-10-2025,"4,827.95"
13-10-2025,"4,865.60"
10-10-2025,"4,793.94"
09-10-2025,"4,923.52"
08-10-2025,"4,935.06"
07-10-2025,"4,908.60"
06-10-2025,"4,926.86"
03-10-2025,"4,916.00"
02-10-2025,"4,907.16"
01-10-2025,"4,893.59"
30-09-2025,"4,856.66"
29-09-2025,"4,824.72"
26-09-2025,"4,815.19"
25-09-2025,"4,793.52"
24-09-2025,"4,802.78"
23-09-2025,"4,825.82"
22-09-2025,"4,858.88"
19-09-2025,"4,825.31"
18-09-2025,"4,798.57"
17-09-2025,"4,772.82"
16-09-2025,"4,791.59"
15-09-2025,"4,799.05"
12-09-2025,"4,763.46"
11-09-2025,"4,753.01"
10-09-2025,"4,732.28"
09-09-2025,"4,713.61"
08-09-2025,"4,703.09"
05-09-2025,"4,681.00"
04-09-2025,"4,700.05"
03-09-2025,"4,662.04"
02-09-2025,"4,611.39"
01-09-2025,"4,651.25"
29-08-2025,"4,650.03"
28-08-2025,"4,686.15"
27-08-2025,"4,664.80"
26-08-2025,"4,651.70"
25-08-2025,"4,639.06"
22-08-2025,"4,653.66"
21-08-2025,"4,586.95"
20-08-2025,"4,602.34"
19-08-2025,"4,619.21"
18-08-2025,"4,651.77"
15-08-2025,"4,655.46"
14-08-2025,"4,659.95"
13-08-2025,"4,645.47"
12-08-2025,"4,633.24"
11-08-2025,"4,591.25"
08-08-2025,"4,604.85"
07-08-2025,"4,561.94"
06-08-2025,"4,549.73"
05-08-2025,"4,499.61"
04-08-2025,"4,515.75"
01-08-2025,"4,452.76"
31-07-2025,"4,531.28"
30-07-2025,"4,552.13"
29-07-2025,"4,552.05"
28-07-2025,"4,560.32"
25-07-2025,"4,555.69"
24-07-2025,"4,557.05"
23-07-2025,"4,530.92"
22-07-2025,"4,483.92"
21-07-2025,"4,498.54"
18-07-2025,"4,481.66"
17-07-2025,"4,482.18"
16-07-2025,"4,458.21"
15-07-2025,"4,453.40"
14-07-2025,"4,438.17"
11-07-2025,"4,441.97"
10-07-2025,"4,448.61"
09-07-2025,"4,436.00"
08-07-2025,"4,397.54"
07-07-2025,"4,400.86"
04-07-2025,"4,431.75"
03-07-2025,"4,434.58"
02-07-2025,"4,398.21"
01-07-2025,"4,362.20"
30-06-2025,"4,375.32"
27-06-2025,"4,363.23"
26-06-2025,"4,325.61"
25-06-2025,"4,295.41"
24-06-2025,"4,270.86"
23-06-2025,"4,218.58"
20-06-2025,"4,195.04"
19-06-2025,"4,209.96"
18-06-2025,"4,217.17"
17-06-2025,"4,220.46"
16-06-2025,"4,253.01"
13-06-2025,"4,218.29"
12-06-2025,"4,270.80"
11-06-2025,"4,249.39"
10-06-2025,"4,259.49"
09-06-2025,"4,241.43"
06-06-2025,"4,231.08"
05-06-2025,"4,197.99"
04-06-2025,"4,207.09"
03-06-2025,"4,189.30"
02-06-2025,"4,168.77"
30-05-2025,"4,149.42"
29-05-2025,"4,156.92"
28-05-2025,"4,128.53"
27-05-2025,"4,149.23"
26-05-2025,"4,078.28"
23-05-2025,"4,071.93"
22-05-2025,"4,104.61"
21-05-2025,"4,107.25"
20-05-2025,"4,145.46"
19-05-2025,"4,155.25"
16-05-2025,"4,144.98"
15-05-2025,"4,134.52"
14-05-2025,"4,122.46"
13-05-2025,"4,106.51"
12-05-2025,"4,063.41"
09-05-2025,"3,938.56"
08-05-2025,"3,936.47"
07-05-2025,"3,921.16"
06-05-2025,"3,928.62"
05-05-2025,"3,946.68"
02-05-2025,"3,970.07"
01-05-2025,"3,923.34"
30-04-2025,"3,889.29"
29-04-2025,"3,888.27"
28-04-2025,"3,876.71"
25-04-2025,"3,875.67"
24-04-2025,"3,841.21"
23-04-2025,"3,765.56"
22-04-2025,"3,694.03"
21-04-2025,"3,629.76"
